address,County,State,latitude,longtitude
1580 Goose Creek Rd SW,Brunswick County,NC,33.91162867,-78.41308834
1043 High Point St,Brunswick County,NC,33.89336,-78.55226
9115 Forest Dr.,Brunswick County,NC,33.88251427,-78.55232027
9102 Sasspan Landing,Brunswick County,NC,33.88165923,-78.55070813
770 Thomasboro Rd,Brunswick County,NC,33.91714777,-78.55816039
9239 Landing Dr.,Brunswick County,NC,33.879817,-78.556139
9149 Forest Dr,Brunswick County,NC,33.88244778,-78.55262778
2922 Indain St,Brunswick County,NC,33.91844,-78.33057
3880 Avondale Dr,Brunswick County,NC,34.31425444,-78.10018393
9140 Forest Dr,Brunswick County,NC,33.88251,-78.553129
1824 Holly St,Brunswick County,NC,33.89505056,-78.46477258
1880 Kittrell Dr,Brunswick County,NC,33.8942544,-78.47305577
1771 Waterloo St,Brunswick County,NC,33.89674102,-78.4772617
1876 Camelot Dr,Brunswick County,NC,33.89377224,-78.47919139
2036 Camelot Dr,Brunswick County,NC,33.893444,-78.478968
1734 Camelot Dr,Brunswick County,NC,33.89712881,-78.48039759
1841 Magnolia St,Brunswick County,NC,33.89475952,-78.46603399
1718 Goose Creek Rd.,Brunswick County,NC,33.90505618,-78.41121734
1737 Maplewood Ct.,Brunswick County,NC,33.89571778,-78.45879639
1950 Ocean View Dr.,Brunswick County,NC,33.89424892,-78.47194354
1961 Waterloo St.,Brunswick County,NC,33.89264792,-78.47578705
1551 Gores Landing Rd.,Brunswick County,NC,33.91086,-78.42111
1703 Ocean View Dr SW,Brunswick County,NC,33.89863796,-78.4733254
6404 Mazelle Trl.,Brunswick County,NC,33.89623,-78.44818
2041 Waterloo St.,Brunswick County,NC,33.89092451,-78.47516614
2839 Sea Aire Dr,Brunswick County,NC,33.92082781,-78.29161007
217 Dogwood Trail,Brunswick County,NC,33.98628707,-78.34524198
245 Dogwood Trail,Brunswick County,NC,33.98569044,-78.34521044
280 Dogwood Trail,Brunswick County,NC,33.98493035,-78.3449729
3984 Blue Heron Ln.,Brunswick County,NC,33.9375,-78.37883
3830 Marsh Hen Dr.,Brunswick County,NC,33.93821848,-78.37641582
3971 Blue Heron Ln.,Brunswick County,NC,33.93804,-78.37927
3933 Cove Ct.,Brunswick County,NC,33.9376142,-78.37681816
4741 Hen Cove Ave,Brunswick County,NC,33.91584,-78.39779
4319 Mary St.,Brunswick County,NC,33.9229667,-78.38606205
1269 Rock Crab Way,Brunswick County,NC,33.92416,-78.40049
3864 Marsh Hen Dr,Brunswick County,NC,33.93706339,-78.37637091
3867 Marsh Hen Dr,Brunswick County,NC,33.93665839,-78.37704826
1349 Marsh Line Ct,Brunswick County,NC,33.93033,-78.37265
3916 Marsh Hen Dr,Brunswick County,NC,33.93656063,-78.37747799
1014 Bay Road,Brunswick County,NC,33.93492,-78.3866
4370 Fish Factory Rd SE,Brunswick County,NC,33.93672,-78.06197
8910 Landing Dr,Brunswick County,NC,33.88351454,-78.54355394
8974 Landing Three ct sw,Brunswick County,NC,33.88303767,-78.54538721
