FIPS,STATE,COUNTY,Geographic Area Name,Utility Name,Latitude,Longitude,Percentage of Unemployment,Percentage of Not in Labor Force,"Percentage of Less than 10,000 (Income)","Percentage of 10,000 to 14,999 (Income)","Percentage of 15,000 to 24,999 (Income)","Percentage of 25,000 to 34,999 (Income)","Percentage of 35,000 to 49,999 (Income)","Percentage of 50,000 to 74,999 (Income)","Percentage of 75,000 to 99,999 (Income)","Percentage of 100,000 to 149,999 (Income)","Percentage of 150,000 to 199,999 (Income)","Percentage of 200,000 or more (Income)",Percentage of with Social Security (Income),Percentage of With Supplemental Security Income (Income),Percentage of With Cash Public Assistance (Income),Percentage of With Food Stamp SNAP (Income), Percentage of Below Poverty Level All People (Income),"Percentage of Less than 5,000 (Owner-occupied)","Percentage of 5,000 to 9,999 (Owner-occupied)","Percentage of 10,000 to 14,999 (Owner-occupied)","Percentage of 15,000 to 19,999 (Owner-occupied)","Percentage of 20,000 to 24,999 (Owner-occupied)","Percentage of 25,000 to 34,999 (Owner-occupied)","Percentage of 35,000 to 49,999 (Owner-occupied)","Percentage of 50,000 to 74,999 (Owner-occupied)","Percentage of 75,000 to 99,999 (Owner-occupied)","Percentage of 100,000 to 149,999 (Owner-occupied)","Percentage of 150,000 or more (Owner-occupied)","Water, Sewer or Combine",Consumption amount (Gallons),Monthly Bill,Annual  Bill,Year
01007,Alabama,Bibb,"Bibb County, Alabama",,,,8.71,49.97,7.61,9.15,10.93,10.46,11.21,16.99,14.79,12.35,3.03,3.48,45.12,7.26,3.16,20.08,18.9,1.85,2.16,5.64,5.62,3,12.04,10.8,19.87,15.66,14.77,8.6,Combined,4000,80,960,2022
01009,Alabama,Blount,"Blount County, Alabama",,,,5.97,44.02,6.68,5.19,8.45,9.71,14.19,16.36,12.86,15.29,6.39,4.87,39.52,8.56,2.05,10.79,10.8,2.36,1.6,3.15,3.75,3.8,9.68,12.46,17,14.19,18.06,13.95,Combined,4000,80,960,2022
01015,Alabama,Calhoun,"Calhoun County, Alabama",,,,6.95,43.44,8.03,6.01,9.83,11.03,12.02,18.02,13.08,14.34,4.23,3.4,39.46,8.01,2.19,17.69,13.5,3.6,2.08,3.89,3.51,4.46,9.59,11.23,17.68,15.7,17.89,10.36,Combined,4000,80,960,2022
01017,Alabama,Chambers,"Chambers County, Alabama",,,,3.58,44.03,5.11,7.79,12.54,11.6,13.95,17.77,12.28,11.44,3.97,3.54,43.33,9.42,0.99,16.78,15.2,3.03,0.91,6.34,4.92,5.77,11,16.28,18.16,13.38,11.32,8.91,Combined,4000,80,960,2022
01019,Alabama,Cherokee,"Cherokee County, Alabama",,,,3.97,48.88,4.54,6,13.93,11.86,16.64,16.76,11.5,11.68,4.04,3.03,46.74,6.17,1.61,11.3,12,2.36,0.87,5.03,6.59,5.77,11.01,15.12,18.01,12.86,13.92,8.47,Combined,4000,80,960,2022
01021,Alabama,Chilton,"Chilton County, Alabama",,,,5.3,43.56,5.37,4.55,9.11,11.64,11.21,17.85,17.36,14.67,4.94,3.3,38.11,7.28,2.15,12.98,11.8,2.2,2.75,3.16,4.58,4.1,9.32,11,18.73,18.43,16.61,9.12,Combined,4000,80,960,2022
01027,Alabama,Clay,"Clay County, Alabama",,,,5.75,52.62,8.3,7.78,8.13,10.1,17.25,18.14,8.88,12.53,6.67,2.22,40.95,6.24,4.36,13.64,15.4,4.35,3.07,5.19,3.42,3.03,7.33,16.92,19.2,10.31,15.82,11.36,Combined,4000,80,960,2022
01029,Alabama,Cleburne,"Cleburne County, Alabama",,,,2.6,51.71,7.36,4.83,10.29,10.4,15.34,17.13,15.14,12.52,4.37,2.62,43.62,6.08,1.72,14.25,8.7,2.96,1.58,4.47,3.34,4.89,9.45,13.06,18.66,17.57,15.39,8.63,Combined,4000,80,960,2022
01033,Alabama,Colbert,"Colbert County, Alabama",,,,3.41,43.15,7.08,5.79,9.76,9.3,14.09,17.77,13.39,14.25,4.84,3.73,38.43,6.91,0.64,15.34,13.7,2.52,1.42,4.29,2.83,3.84,6.72,12.94,20.62,15.48,18.15,11.19,Combined,4000,80,960,2022
01037,Alabama,Coosa,"Coosa County, Alabama",,,,4.4,53.59,2.1,5.65,11.28,10.83,17.18,19,12.45,15.65,3.63,2.23,49.64,7.88,0.58,11.5,9.5,1.32,0.34,3.76,4.09,4.59,9.73,17.05,20.1,13.85,17.97,7.2,Combined,4000,80,960,2022
