Parcel,St Number,St Name,City,County,State,Country,meter count,Notes,Built Yr,Effective Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3145,4801,A ST,Kinston,Lenoir,NC,USA,1,,1962,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,4802,A ST,Kinston,Lenoir,NC,USA,1,,1964,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13641,600,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1949,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13137,601,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1940,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5011,602,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1947,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13405,603,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1940,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7812,604,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1949,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11789,605,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1940,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9981,606,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1948,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8366,607,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1941,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14363,608,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1949,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10753,609,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1942,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471,611,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1947,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651,700,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1948,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9844,701,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1947,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8971,703,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1949,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7380,704,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1947,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7892,705,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1958,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8554,707,ABBOTT ST,Kinston,Lenoir,NC,USA,1,,1949,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
