State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/01/2022,Micrograms/cubic meter (LC),None,1,100,6.9,6.9,0,29,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/02/2022,Micrograms/cubic meter (LC),None,1,100,3.3,3.3,0,14,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/03/2022,Micrograms/cubic meter (LC),None,1,100,0.5,0.5,0,2,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/04/2022,Micrograms/cubic meter (LC),None,1,100,3.2,3.2,0,13,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/05/2022,Micrograms/cubic meter (LC),None,1,100,3.5,3.5,0,15,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/06/2022,Micrograms/cubic meter (LC),None,1,100,6.4,6.4,0,27,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/07/2022,Micrograms/cubic meter (LC),None,1,100,2.5,2.5,0,10,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/08/2022,Micrograms/cubic meter (LC),None,1,100,2.8,2.8,0,12,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/09/2022,Micrograms/cubic meter (LC),None,1,100,6,6,0,25,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
37,147,6,88101,3,35.641276,-77.360126,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/10/2022,Micrograms/cubic meter (LC),None,1,100,0,0,0,0,, - ,Pitt Agri. Center,403 Government Circle,North Carolina,Pitt,Not in a city,"Greenville, NC",09/26/2022
