State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/01/2022,Micrograms/cubic meter (LC),None,1,100,8,8,0,33,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/02/2022,Micrograms/cubic meter (LC),None,1,100,1.9,1.9,0,8,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/03/2022,Micrograms/cubic meter (LC),None,1,100,-0.1,-0.1,0,0,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/04/2022,Micrograms/cubic meter (LC),None,1,100,3.8,3.8,0,16,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/05/2022,Micrograms/cubic meter (LC),None,1,100,6.5,6.5,0,27,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/06/2022,Micrograms/cubic meter (LC),None,1,100,5.1,5.1,0,21,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/07/2022,Micrograms/cubic meter (LC),None,1,100,1.6,1.6,0,7,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/08/2022,Micrograms/cubic meter (LC),None,1,100,7.8,7.8,0,33,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/09/2022,Micrograms/cubic meter (LC),None,1,100,3.6,3.6,0,15,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/10/2022,Micrograms/cubic meter (LC),None,1,100,0,0,0,0,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/11/2022,Micrograms/cubic meter (LC),None,1,100,2.7,2.7,0,11,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/12/2022,Micrograms/cubic meter (LC),None,1,100,9.9,9.9,0,41,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/13/2022,Micrograms/cubic meter (LC),None,1,100,9.6,9.6,0,40,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/14/2022,Micrograms/cubic meter (LC),None,1,100,8.3,8.3,0,35,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/15/2022,Micrograms/cubic meter (LC),None,1,100,12,12,0,50,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/16/2022,Micrograms/cubic meter (LC),None,1,100,4.9,4.9,0,20,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/17/2022,Micrograms/cubic meter (LC),None,1,100,3.2,3.2,0,13,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/18/2022,Micrograms/cubic meter (LC),None,1,100,5.8,5.8,0,24,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/19/2022,Micrograms/cubic meter (LC),None,1,100,11.5,11.5,0,48,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/20/2022,Micrograms/cubic meter (LC),None,1,100,5.1,5.1,0,21,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/21/2022,Micrograms/cubic meter (LC),None,1,100,6,6,0,25,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/22/2022,Micrograms/cubic meter (LC),None,1,100,3.9,3.9,0,16,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/23/2022,Micrograms/cubic meter (LC),None,1,100,5,5,0,21,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/24/2022,Micrograms/cubic meter (LC),None,1,100,5.2,5.2,0,22,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/25/2022,Micrograms/cubic meter (LC),None,1,100,10,10,0,42,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/26/2022,Micrograms/cubic meter (LC),None,1,100,6.5,6.5,0,27,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/27/2022,Micrograms/cubic meter (LC),None,1,100,9.2,9.2,0,38,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/28/2022,Micrograms/cubic meter (LC),None,1,100,12.2,12.2,0,51,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/29/2022,Micrograms/cubic meter (LC),None,1,100,2.8,2.8,0,12,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/30/2022,Micrograms/cubic meter (LC),None,1,100,9.5,9.5,0,40,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,01/31/2022,Micrograms/cubic meter (LC),None,1,100,11,11,0,46,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,02/01/2022,Micrograms/cubic meter (LC),None,1,100,12.2,12.2,0,51,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,02/02/2022,Micrograms/cubic meter (LC),None,1,100,12.4,12.4,0,52,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,02/03/2022,Micrograms/cubic meter (LC),None,1,100,6.9,6.9,0,29,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,02/04/2022,Micrograms/cubic meter (LC),None,1,100,0.3,0.3,0,1,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,02/05/2022,Micrograms/cubic meter (LC),None,1,100,3.4,3.4,0,14,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,02/06/2022,Micrograms/cubic meter (LC),None,1,100,5.3,5.3,0,22,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,02/07/2022,Micrograms/cubic meter (LC),None,1,100,7.7,7.7,0,32,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
37,21,34,88101,3,35.6062,-82.5844,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,02/08/2022,Micrograms/cubic meter (LC),None,1,100,5,5,0,21,, - ,Board Of Ed. Bldg.,175 BINGHAM ROAD,North Carolina,Buncombe,Asheville,"Asheville, NC",09/26/2022
