FIPS,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Owner occupied:,"Estimate!!Total:!!Owner occupied:!!Less than $5,000","Percentage of Less than $5,000","Estimate!!Total:!!Owner occupied:!!$5,000 to $9,999","Percentage of $5,000 to $9,999","Estimate!!Total:!!Owner occupied:!!$10,000 to $14,999","Percentage of $10,000 to $14,999","Estimate!!Total:!!Owner occupied:!!$15,000 to $19,999","Percentage of $15,000 to $19,999","Estimate!!Total:!!Owner occupied:!!$20,000 to $24,999","Percentage of $20,000 to $24,999","Estimate!!Total:!!Owner occupied:!!$25,000 to $34,999","Percentage of $25,000 to $34,999","Estimate!!Total:!!Owner occupied:!!$35,000 to $49,999","Percentage of $35,000 to $49,999","Estimate!!Total:!!Owner occupied:!!$50,000 to $74,999","Percentage of $50,000 to $74,999","Estimate!!Total:!!Owner occupied:!!$75,000 to $99,999","Percentage of $75,000 to $99,999","Estimate!!Total:!!Owner occupied:!!$100,000 to $149,999","Percentage of $100,000 to $149,999","Estimate!!Total:!!Owner occupied:!!$150,000 or more","Percentage of $150,000 or more"
01001,"Autauga County, Alabama",22308,16832,307,1.82 ,338,2.01 ,316,1.88 ,822,4.88 ,794,4.72,1163,6.91,1877,11.15,2702,16.05,2355,13.99,3391,20.15,2767,16.44
01003,"Baldwin County, Alabama",90802,70708,1777,2.51 ,883,1.25 ,2115,2.99 ,1910,2.7,2138,3.02,4388,6.21,8083,11.43,11089,15.68,10486,14.83,13715,19.4,14124,19.98
01005,"Barbour County, Alabama",9016,5858,252,4.30 ,180,3.07 ,197,3.36 ,347,5.92,471,8.04,538,9.18,811,13.84,1057,18.04,631,10.77,834,14.24,540,9.22
01007,"Bibb County, Alabama",7216,5465,101,1.85 ,118,2.16 ,308,5.64 ,307,5.62,164,3,658,12.04,590,10.8,1086,19.87,856,15.66,807,14.77,470,8.6
01009,"Blount County, Alabama",21626,17144,404,2.36 ,275,1.60 ,540,3.15 ,643,3.75,651,3.8,1660,9.68,2136,12.46,2914,17,2433,14.19,3097,18.06,2391,13.95
01011,"Bullock County, Alabama",3450,2231,158,7.08 ,83,3.72 ,164,7.35 ,113,5.06,167,7.49,209,9.37,374,16.76,234,10.49,181,8.11,417,18.69,131,5.87
01013,"Butler County, Alabama",7131,5047,157,3.11 ,48,0.95 ,218,4.32 ,280,5.55,370,7.33,436,8.64,785,15.55,829,16.43,757,15,565,11.19,602,11.93
01015,"Calhoun County, Alabama",44693,31694,1141,3.60 ,660,2.08 ,1233,3.89 ,1111,3.51,1415,4.46,3041,9.59,3558,11.23,5605,17.68,4976,15.7,5670,17.89,3284,10.36
01017,"Chambers County, Alabama",13143,9486,287,3.03 ,86,0.91 ,601,6.34 ,467,4.92,547,5.77,1043,11,1544,16.28,1723,18.16,1269,13.38,1074,11.32,845,8.91
01019,"Cherokee County, Alabama",9997,7972,188,2.36 ,69,0.87 ,401,5.03 ,525,6.59,460,5.77,878,11.01,1205,15.12,1436,18.01,1025,12.86,1110,13.92,675,8.47
01021,"Chilton County, Alabama",16931,12700,280,2.20 ,349,2.75 ,401,3.16 ,582,4.58,521,4.1,1184,9.32,1397,11,2379,18.73,2340,18.43,2109,16.61,1158,9.12
01023,"Choctaw County, Alabama",5228,4286,102,2.38 ,180,4.20 ,281,6.56 ,276,6.44,294,6.86,490,11.43,449,10.48,691,16.12,513,11.97,664,15.49,346,8.07
