FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Percentage of Unemployment,Percentage of Not in Labor Force,"Percentage o Less than 10,000","Percentage of 10,000 to 14,999 (Income)","Percentage of 15,000 to 24,999 (Income)","Percentage of 25,000 to 34,999 (Income)","Percentage of 35,000 to 49,999 (Income)","Percentage of 50,000 to 74,999 (Income)","Percentage of 75,000 to 99,999 (Income)","Percentage of 100,000 to 149,999 (Income)","Percentage of 150,000 to 199,999 (Income)","Percentage of 200,000 or more",Percentage of with Social Security (Income),Percentage of With Supplemental Security Income (Income),Percentage of With Cash Public Assistance (Income),Percentage of With Food Stamp SNAP (Income),"Percentage of Less than 5,000 (Owner-occupied)","Percentage of 5,000 to 9,999 (Owner-occupied)","Percentage of 10,000 to 14,999 (Owner-occupied)","Percentage of 15,000 to 19,999 (Owner-occupied)","Percentage of 20,000 to 24,999 (Owner-occupied)","Percentage of 25,000 to 34,999 (Owner-occupied)","Percentage of 35,000 to 49,999 (Owner-occupied)","Percentage of 50,000 to 74,999 (Owner-occupied)","Percentage of 75,000 to 99,999 (Owner-occupied)","Percentage of 100,000 to 149,999 (Owner-occupied)","Percentage of 150,000 or more (Owner-occupied)",Year,"Water, Sewer or Combine",Consumption amount (Gallons),Monthly Bill,Annual  Bill
01007,Alabama,Bibb,ARC,"Bibb County, Alabama",0.09 ,0.50 ,0.08 ,0.09 ,0.11 ,0.10 ,0.11 ,0.17 ,0.15 ,0.12 ,0.03 ,0.03 ,0.45 ,0.07 ,0.03 ,0.20 ,0.02 ,0.02 ,0.06 ,0.06 ,0.03 ,0.12 ,0.11 ,0.20 ,0.16 ,0.15 ,0.09 ,2022.00 ,Combined,4000,80,960
01009,Alabama,Blount,ARC,"Blount County, Alabama",0.06 ,0.44 ,0.07 ,0.05 ,0.08 ,0.10 ,0.14 ,0.16 ,0.13 ,0.15 ,0.06 ,0.05 ,0.40 ,0.09 ,0.02 ,0.11 ,0.02 ,0.02 ,0.03 ,0.04 ,0.04 ,0.10 ,0.12 ,0.17 ,0.14 ,0.18 ,0.14 ,2022.00 ,Combined,4000,80,960
01015,Alabama,Calhoun,ARC,"Calhoun County, Alabama",0.07 ,0.43 ,0.08 ,0.06 ,0.10 ,0.11 ,0.12 ,0.18 ,0.13 ,0.14 ,0.04 ,0.03 ,0.39 ,0.08 ,0.02 ,0.18 ,0.04 ,0.02 ,0.04 ,0.04 ,0.04 ,0.10 ,0.11 ,0.18 ,0.16 ,0.18 ,0.10 ,2022.00 ,Combined,4000,80,960
01017,Alabama,Chambers,ARC,"Chambers County, Alabama",0.04 ,0.44 ,0.05 ,0.08 ,0.13 ,0.12 ,0.14 ,0.18 ,0.12 ,0.11 ,0.04 ,0.04 ,0.43 ,0.09 ,0.01 ,0.17 ,0.03 ,0.01 ,0.06 ,0.05 ,0.06 ,0.11 ,0.16 ,0.18 ,0.13 ,0.11 ,0.09 ,2022.00 ,Combined,4000,80,960
01019,Alabama,Cherokee,ARC,"Cherokee County, Alabama",0.04 ,0.49 ,0.05 ,0.06 ,0.14 ,0.12 ,0.17 ,0.17 ,0.12 ,0.12 ,0.04 ,0.03 ,0.47 ,0.06 ,0.02 ,0.11 ,0.02 ,0.01 ,0.05 ,0.07 ,0.06 ,0.11 ,0.15 ,0.18 ,0.13 ,0.14 ,0.08 ,2022.00 ,Combined,4000,80,960
01021,Alabama,Chilton,ARC,"Chilton County, Alabama",0.05 ,0.44 ,0.05 ,0.05 ,0.09 ,0.12 ,0.11 ,0.18 ,0.17 ,0.15 ,0.05 ,0.03 ,0.38 ,0.07 ,0.02 ,0.13 ,0.02 ,0.03 ,0.03 ,0.05 ,0.04 ,0.09 ,0.11 ,0.19 ,0.18 ,0.17 ,0.09 ,2022.00 ,Combined,4000,80,960
01027,Alabama,Clay,ARC,"Clay County, Alabama",0.06 ,0.53 ,0.08 ,0.08 ,0.08 ,0.10 ,0.17 ,0.18 ,0.09 ,0.13 ,0.07 ,0.02 ,0.41 ,0.06 ,0.04 ,0.14 ,0.04 ,0.03 ,0.05 ,0.03 ,0.03 ,0.07 ,0.17 ,0.19 ,0.10 ,0.16 ,0.11 ,2022.00 ,Combined,4000,80,960
01029,Alabama,Cleburne,ARC,"Cleburne County, Alabama",0.03 ,0.52 ,0.07 ,0.05 ,0.10 ,0.10 ,0.15 ,0.17 ,0.15 ,0.13 ,0.04 ,0.03 ,0.44 ,0.06 ,0.02 ,0.14 ,0.03 ,0.02 ,0.04 ,0.03 ,0.05 ,0.09 ,0.13 ,0.19 ,0.18 ,0.15 ,0.09 ,2022.00 ,Combined,4000,80,960
01033,Alabama,Colbert,ARC,"Colbert County, Alabama",0.03 ,0.43 ,0.07 ,0.06 ,0.10 ,0.09 ,0.14 ,0.18 ,0.13 ,0.14 ,0.05 ,0.04 ,0.38 ,0.07 ,0.01 ,0.15 ,0.03 ,0.01 ,0.04 ,0.03 ,0.04 ,0.07 ,0.13 ,0.21 ,0.15 ,0.18 ,0.11 ,2022.00 ,Combined,4000,80,960
01037,Alabama,Coosa,ARC,"Coosa County, Alabama",0.04 ,0.54 ,0.02 ,0.06 ,0.11 ,0.11 ,0.17 ,0.19 ,0.12 ,0.16 ,0.04 ,0.02 ,0.50 ,0.08 ,0.01 ,0.12 ,0.01 ,0.00 ,0.04 ,0.04 ,0.05 ,0.10 ,0.17 ,0.20 ,0.14 ,0.18 ,0.07 ,2022.00 ,Combined,4000,80,960
