FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Employed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Unemployed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Armed_Forces,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__Not_in_labor_force,Percentage_of_Unemployment,Percentage_of_Not_in_Labor_Force,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Less_than__10_000,Percentage_of_Less_than__10_000,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___10_000_to__14_999,Percentage_of__10_000_to__14_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___15_000_to__24_999,Percentage_of__15_000_to__24_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___25_000_to__34_999,Percentage_of__25_000_to__34_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___35_000_to__49_999,Percentage_of__35_000_to__49_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___50_000_to__74_999,Percentage_of__50_000_to__74_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___75_000_to__99_999,Percentage_of__75_000_to__99_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___100_000_to__149_999,Percentage_of__100_000_to__149_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___150_000_to__199_999,Percentage_of__150_000_to__199_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___200_000_or_more,Percentage_of__200_000_or_more,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Median_household_income__dollars_,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Social_Security,Percentage_of_with_Social_Security,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Supplemental_Security_Income,Percentage_of_With_Supplemental_Security_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_cash_public_assistance_income,Percentage_of_With_Cash_Public_Assistance_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Food_Stamp_SNAP_benefits_in_the_past_12_months,Percentage_of_With_Food_Stamp_SNAP,Percent__PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL__All_people__People_in_families
01007,Alabama,Bibb,ARC,"Bibb County, Alabama",18046,9028,9028,8242,786,0,9018,8.71%,49.97%,7216,549,7.61%,660,9.15%,789,10.93%,755,10.46%,809,11.21%,1226,16.99%,1067,14.79%,891,12.35%,219,3.03%,251,3.48%,50669,3256,45.12%,524,7.26%,228,3.16%,1449,20.08%,18.9
01009,Alabama,Blount,ARC,"Blount County, Alabama",47261,26459,26434,24856,1578,25,20802,5.97%,44.02%,21626,1445,6.68%,1122,5.19%,1828,8.45%,2100,9.71%,3069,14.19%,3539,16.36%,2782,12.86%,3307,15.29%,1381,6.39%,1053,4.87%,57440,8546,39.52%,1852,8.56%,444,2.05%,2334,10.79%,10.8
01015,Alabama,Calhoun,ARC,"Calhoun County, Alabama",94627,53521,53147,49455,3692,374,41106,6.95%,43.44%,44693,3591,8.03%,2687,6.01%,4392,9.83%,4929,11.03%,5374,12.02%,8053,18.02%,5846,13.08%,6411,14.34%,1890,4.23%,1520,3.40%,54339,17636,39.46%,3581,8.01%,977,2.19%,7908,17.69%,13.5
01017,Alabama,Chambers,ARC,"Chambers County, Alabama",28036,15691,15631,15072,559,60,12345,3.58%,44.03%,13143,671,5.11%,1024,7.79%,1648,12.54%,1525,11.60%,1834,13.95%,2336,17.77%,1614,12.28%,1504,11.44%,522,3.97%,465,3.54%,48805,5695,43.33%,1238,9.42%,130,0.99%,2205,16.78%,15.2
01019,Alabama,Cherokee,ARC,"Cherokee County, Alabama",20956,10713,10713,10288,425,0,10243,3.97%,48.88%,9997,454,4.54%,600,6.00%,1393,13.93%,1186,11.86%,1664,16.64%,1675,16.76%,1150,11.50%,1168,11.68%,404,4.04%,303,3.03%,46621,4673,46.74%,617,6.17%,161,1.61%,1130,11.30%,12
01021,Alabama,Chilton,ARC,"Chilton County, Alabama",35294,19921,19921,18865,1056,0,15373,5.30%,43.56%,16931,909,5.37%,771,4.55%,1543,9.11%,1970,11.64%,1898,11.21%,3022,17.85%,2939,17.36%,2483,14.67%,837,4.94%,559,3.30%,62471,6452,38.11%,1232,7.28%,364,2.15%,2198,12.98%,11.8
01027,Alabama,Clay,ARC,"Clay County, Alabama",11636,5513,5480,5165,315,33,6123,5.75%,52.62%,5485,455,8.30%,427,7.78%,446,8.13%,554,10.10%,946,17.25%,995,18.14%,487,8.88%,687,12.53%,366,6.67%,122,2.22%,48074,2246,40.95%,342,6.24%,239,4.36%,748,13.64%,15.4
01029,Alabama,Cleburne,ARC,"Cleburne County, Alabama",12103,5844,5844,5692,152,0,6259,2.60%,51.71%,5761,424,7.36%,278,4.83%,593,10.29%,599,10.40%,884,15.34%,987,17.13%,872,15.14%,721,12.52%,252,4.37%,151,2.62%,51553,2513,43.62%,350,6.08%,99,1.72%,821,14.25%,8.7
01033,Alabama,Colbert,ARC,"Colbert County, Alabama",46692,26546,26492,25589,903,54,20146,3.41%,43.15%,23266,1648,7.08%,1348,5.79%,2270,9.76%,2163,9.30%,3279,14.09%,4134,17.77%,3116,13.39%,3316,14.25%,1125,4.84%,867,3.73%,56149,8941,38.43%,1608,6.91%,149,0.64%,3568,15.34%,13.7
01037,Alabama,Coosa,ARC,"Coosa County, Alabama",8825,4096,4046,3868,178,50,4729,4.40%,53.59%,3999,84,2.10%,226,5.65%,451,11.28%,433,10.83%,687,17.18%,760,19.00%,498,12.45%,626,15.65%,145,3.63%,89,2.23%,52279,1985,49.64%,315,7.88%,23,0.58%,460,11.50%,9.5
